群組編號,群組代表價格,群組最大直徑(公尺),停車場名稱,停車場經度,停車場緯度,停車場價格(每小時)
0,30,63,台北市立大學天母校區地下停車場,25.1164436,121.536015,30
0,30,63,臺北市立體育學院停車場,25.116443,121.5361069,30
0,30,63,台北市立大學天母校區體育館戶外平面停車場,25.1164475,121.5354721,40
1,60,184,新長越天玉街停車場,25.1191277,121.5297835,50
1,60,184,博客停車場天母站,25.1188308,121.529048,50
1,60,184,天母西側停車場,25.1187174,121.529732,60
1,60,184,天母東側停車場,25.1185206,121.5308518,60
2,60,376,TIMES承德酒泉,25.0711166,121.5194181,60
2,60,376,TIMES承德酒泉第2,25.06974,121.5186674,60
2,60,376,達客瑪停車場,25.0731139,121.5190286,60
3,30,274,陽明山花鐘停車場,25.1568427,121.5396836,30
3,30,274,嘟嘟房陽明山花鐘站,25.1569348,121.5396155,30
3,30,274,陽明山立體停車場,25.1545136,121.5390797,30
3,30,274,嘟嘟房陽明山立體站,25.1545467,121.5390953,30
4,30,320,福慧網萬芳加盟站,24.9986291,121.5563371,30
4,30,320,應安萬芳場,24.9983701,121.557524,30
4,30,320,宏和停車場,24.9980927,121.5569075,40
4,30,320,萬芳醫院附設停車場,24.9993621,121.5575117,40
4,30,320,台北市文山運動中心停車場,24.997001,121.55896,30
5,30,441,俥亭瑞安停車場,25.0257155,121.5389268,30
5,30,441,嘟嘟房瑞安站,25.0254904,121.5394234,30
5,30,441,仁光瑞安站停車場,25.0264256,121.5399015,30
5,30,441,龍門國中地下停車場,25.0239543,121.5378825,30
5,30,441,建國南路高架橋下A區,25.0279199,121.5379499,20
5,30,441,文化大學大夏館停車塔,25.0259757,121.5379204,20
6,30,303,湖興立體停車場,25.0675706,121.5903358,30
6,30,303,石潭平面停車場,25.0686454,121.5919505,30
6,30,303,台北內湖民權停車場,25.0681135,121.5932908,20
7,30,263,捷運昆陽站(二區),25.0493101,121.5884161,30
7,30,263,捷運昆陽站(一區),25.0493101,121.5884161,30
7,30,263,捷運昆陽站(三區),25.0490226,121.587282,30
7,30,263,應安昆陽場,25.0487462,121.5858713,20
7,30,263,應安新昆陽場,25.0487837,121.5859615,40
8,120,517,崇光百貨停車場,25.041922,121.5452556,120
8,120,517,太平洋崇光百貨股份有限公司復興店停車場,25.0406643,121.5430487,120
8,120,517,太平洋崇光百貨(股)公司敦化分公司停車場,25.0397652,121.5480865,120
9,30,295,俥亭萬華停車場,25.0345462,121.5002155,30
9,30,295,臺北市萬華區行政中心地下停車場,25.0345302,121.5000177,30
9,30,295,萬華車站前平面停車場,25.0337451,121.5007504,30
9,30,295,艋舺公園地下停車場,25.0361254,121.4994563,40
10,40,704,臨沂停車場,25.03578,121.5284215,40
10,40,704,便利停車場臨沂三站,25.0368038,121.5288076,40
